Suburb,Year,pop_est,incidents_recorded,Number of Records,incidents_per_1000_people
ABBOTSFORD,2011,4907,706,37,143.8760954
ABBOTSFORD,2012,5562,716,44,128.7306724
ABBOTSFORD,2013,6217,670,41,107.7690204
ABBOTSFORD,2014,6873,865,49,125.8547941
ABBOTSFORD,2015,7528,972,43,129.1179596
ABBOTSFORD,2016,8184,1053,46,128.6656891
ABBOTSFORD,2017,8840,1090,49,123.3031674
ABBOTSFORD,2018,9496,1197,48,126.053075
ABBOTSFORD,2019,10152,1256,49,123.7194641
ABBOTSFORD,2020,10808,1286,51,118.9859363
ABERFELDIE,2011,3621,99,17,27.34051367
ABERFELDIE,2012,3676,120,22,32.64417845
ABERFELDIE,2013,3731,96,24,25.73036719
ABERFELDIE,2014,3786,146,22,38.56312731
ABERFELDIE,2015,3841,99,26,25.77453788
ABERFELDIE,2016,3897,137,24,35.15524763
ABERFELDIE,2017,3953,124,28,31.36858082
ABERFELDIE,2018,4009,113,24,28.18658019
ABERFELDIE,2019,4065,109,24,26.81426814
ABERFELDIE,2020,4121,120,23,29.11914584
ACHERON,2012,171,3,3,17.54385965
ACHERON,2013,171,5,3,29.23976608
ACHERON,2014,171,1,1,5.847953216
ACHERON,2015,171,2,2,11.69590643
ACHERON,2016,171,1,1,5.847953216
ACHERON,2017,171,3,3,17.54385965
ACHERON,2018,171,7,7,40.93567251
ACHERON,2019,171,4,4,23.39181287
ACHERON,2020,171,6,5,35.0877193
AIREYS INLET,2011,713,19,9,26.64796634
AIREYS INLET,2012,730,44,11,60.2739726
AIREYS INLET,2013,748,24,11,32.0855615
AIREYS INLET,2014,766,31,13,40.46997389
AIREYS INLET,2015,784,35,12,44.64285714
AIREYS INLET,2016,802,26,16,32.41895262
AIREYS INLET,2017,820,32,9,39.02439024
AIREYS INLET,2018,838,19,11,22.67303103
AIREYS INLET,2019,856,16,11,18.69158879
AIREYS INLET,2020,874,30,13,34.32494279
AIRPORT WEST,2011,6959,617,38,88.6621641
AIRPORT WEST,2012,7080,669,44,94.49152542
AIRPORT WEST,2013,7201,687,44,95.40341619
AIRPORT WEST,2014,7322,658,44,89.86615679
AIRPORT WEST,2015,7443,700,43,94.04809888
AIRPORT WEST,2016,7564,737,48,97.43521946
AIRPORT WEST,2017,7685,707,43,91.99739753
AIRPORT WEST,2018,7806,812,44,104.0225468
AIRPORT WEST,2019,7927,770,44,97.13636937
AIRPORT WEST,2020,8048,694,47,86.23260437
ALBANVALE,2011,5221,297,30,56.88565409
ALBANVALE,2012,5275,264,33,50.04739336
ALBANVALE,2013,5329,302,33,56.67104522
ALBANVALE,2014,5383,321,35,59.63217537
ALBANVALE,2015,5437,292,39,53.70608792
ALBANVALE,2016,5491,336,42,61.19103988
ALBANVALE,2017,5545,233,38,42.01983769
ALBANVALE,2018,5599,302,41,53.93820325
ALBANVALE,2019,5653,291,34,51.47709181
ALBANVALE,2020,5707,342,37,59.92640617
ALBERT PARK,2011,5955,364,35,61.12510495
ALBERT PARK,2012,6007,459,35,76.410854
ALBERT PARK,2013,6059,417,37,68.82323816
ALBERT PARK,2014,6111,380,35,62.18294878
ALBERT PARK,2015,6163,457,35,74.1521986
ALBERT PARK,2016,6215,572,39,92.03539823
ALBERT PARK,2017,6267,501,34,79.94255625
ALBERT PARK,2018,6319,564,36,89.2546289
ALBERT PARK,2019,6371,514,41,80.67807252
ALBERT PARK,2020,6423,530,38,82.51595827
ALBERTON,2011,260,3,3,11.53846154
ALBERTON,2012,260,14,7,53.84615385
ALBERTON,2013,260,9,6,34.61538462
ALBERTON,2014,261,4,3,15.3256705
ALBERTON,2015,261,7,6,26.81992337
ALBERTON,2016,262,8,8,30.53435115
ALBERTON,2017,263,7,6,26.61596958
ALBERTON,2018,264,11,8,41.66666667
ALBERTON,2019,265,10,7,37.73584906
ALBERTON,2020,266,13,12,48.87218045
ALBION,2011,4337,521,36,120.1291215
ALBION,2012,4415,455,42,103.0577576
ALBION,2013,4494,406,38,90.34267913
ALBION,2014,4573,372,43,81.34703696
ALBION,2015,4652,431,39,92.6483233
ALBION,2016,4731,389,38,82.22363137
ALBION,2017,4810,390,36,81.08108108
ALBION,2018,4889,454,39,92.86152587
ALBION,2019,4968,425,41,85.54750403
ALBION,2020,5047,360,40,71.32950267
ALEXANDRA,2011,2656,105,21,39.53313253
ALEXANDRA,2012,2663,104,29,39.05369884
ALEXANDRA,2013,2671,87,25,32.57207039
ALEXANDRA,2014,2679,138,34,51.51175812
ALEXANDRA,2015,2687,107,29,39.82136211
ALEXANDRA,2016,2695,86,31,31.9109462
ALEXANDRA,2017,2703,113,34,41.80540141
ALEXANDRA,2018,2711,120,30,44.26410918
ALEXANDRA,2019,2719,102,30,37.51379184
ALEXANDRA,2020,2727,120,34,44.00440044
ALFREDTON,2011,7195,225,23,31.27171647
ALFREDTON,2012,7600,267,30,35.13157895
ALFREDTON,2013,8005,288,31,35.97751405
ALFREDTON,2014,8410,248,31,29.48870392
ALFREDTON,2015,8815,325,34,36.86897334
ALFREDTON,2016,9220,454,36,49.24078091
ALFREDTON,2017,9625,391,37,40.62337662
ALFREDTON,2018,10030,352,36,35.09471585
ALFREDTON,2019,10435,355,36,34.02012458
ALFREDTON,2020,10840,288,42,26.56826568
ALLANSFORD,2011,1413,29,17,20.52370842
ALLANSFORD,2012,1434,21,16,14.64435146
ALLANSFORD,2013,1456,33,21,22.66483516
ALLANSFORD,2014,1477,27,15,18.2802979
ALLANSFORD,2015,1499,26,15,17.3448966
ALLANSFORD,2016,1521,21,15,13.80670611
ALLANSFORD,2017,1543,23,16,14.90602722
ALLANSFORD,2018,1565,33,22,21.08626198
ALLANSFORD,2019,1587,46,24,28.98550725
ALLANSFORD,2020,1609,45,29,27.96768179
ALLENDALE,2011,211,4,4,18.95734597
ALLENDALE,2012,,2,1,0
ALLENDALE,2013,,4,3,0
ALLENDALE,2014,,4,4,0
ALLENDALE,2015,,3,3,0
ALLENDALE,2018,,6,4,0
ALLENDALE,2019,,1,1,0
ALLENDALE,2020,,2,2,0
ALMA,2011,260,2,2,7.692307692
ALMA,2012,,2,2,0
ALMA,2013,,2,2,0
ALMA,2014,,2,2,0
ALMA,2016,201,7,6,34.82587065
ALMA,2017,,2,2,0
ALMA,2018,,5,5,0
ALMA,2019,,4,3,0
ALMA,2020,,5,4,0
ALPHINGTON,2011,4603,199,43,43.23267434
ALPHINGTON,2012,4698,245,45,52.149851
ALPHINGTON,2013,4793,194,38,40.47569372
ALPHINGTON,2014,4889,257,46,52.56698711
ALPHINGTON,2015,4984,213,45,42.73675762
ALPHINGTON,2016,5080,311,46,61.22047244
ALPHINGTON,2017,5176,300,55,57.95981453
ALPHINGTON,2018,5272,219,41,41.54021244
ALPHINGTON,2019,5368,242,44,45.08196721
ALPHINGTON,2020,5464,218,45,39.89751098
ALTONA,2011,9918,592,47,59.68945352
ALTONA,2012,10086,771,52,76.44259369
ALTONA,2013,10255,637,47,62.11604096
ALTONA,2014,10424,701,50,67.24865695
ALTONA,2015,10593,577,46,54.46993297
ALTONA,2016,10762,613,48,56.95967292
ALTONA,2017,10931,628,51,57.45128534
ALTONA,2018,11100,549,50,49.45945946
ALTONA,2019,11269,616,52,54.66323542
ALTONA,2020,11438,518,50,45.2876377
ALTONA MEADOWS,2011,18746,696,46,37.12792062
ALTONA MEADOWS,2012,18828,820,43,43.55215636
ALTONA MEADOWS,2013,18911,770,45,40.71704299
ALTONA MEADOWS,2014,18994,786,46,41.38148889
ALTONA MEADOWS,2015,19077,745,50,39.05226189
ALTONA MEADOWS,2016,19160,790,44,41.23173278
ALTONA MEADOWS,2017,19243,718,46,37.3122694
ALTONA MEADOWS,2018,19326,729,49,37.72120459
ALTONA MEADOWS,2019,19409,832,47,42.86671132
ALTONA MEADOWS,2020,19492,733,47,37.60517135
ALTONA NORTH,2011,11379,788,53,69.2503735
ALTONA NORTH,2012,11533,964,53,83.58623082
ALTONA NORTH,2013,11688,933,50,79.82546201
ALTONA NORTH,2014,11842,951,48,80.30738051
ALTONA NORTH,2015,11997,958,50,79.85329666
ALTONA NORTH,2016,12152,967,52,79.57537854
ALTONA NORTH,2017,12307,953,58,77.43560575
ALTONA NORTH,2018,12462,840,50,67.40491093
ALTONA NORTH,2019,12617,961,51,76.16707617
ALTONA NORTH,2020,12772,904,49,70.77983088
AMPHITHEATRE,2011,236,3,3,12.71186441
AMPHITHEATRE,2012,238,6,4,25.21008403
AMPHITHEATRE,2013,240,7,5,29.16666667
AMPHITHEATRE,2014,243,17,10,69.95884774
AMPHITHEATRE,2015,245,16,9,65.30612245
AMPHITHEATRE,2016,248,10,7,40.32258065
AMPHITHEATRE,2017,251,10,6,39.84063745
AMPHITHEATRE,2018,254,9,6,35.43307087
AMPHITHEATRE,2019,257,7,3,27.23735409
AMPHITHEATRE,2020,260,31,17,119.2307692
ANAKIE,2011,602,19,8,31.56146179
ANAKIE,2012,619,28,12,45.23424879
ANAKIE,2013,637,25,9,39.24646782
ANAKIE,2014,654,21,10,32.11009174
ANAKIE,2015,672,25,10,37.20238095
ANAKIE,2016,690,21,11,30.43478261
ANAKIE,2017,708,40,18,56.49717514
ANAKIE,2018,726,26,16,35.81267218
ANAKIE,2019,744,23,14,30.91397849
ANAKIE,2020,762,19,13,24.9343832
ANGLESEA,2011,2454,109,16,44.41727791
ANGLESEA,2012,2472,117,23,47.33009709
ANGLESEA,2013,2490,129,24,51.80722892
ANGLESEA,2014,2508,84,19,33.49282297
ANGLESEA,2015,2526,85,19,33.65003959
ANGLESEA,2016,2545,128,21,50.29469548
ANGLESEA,2017,2564,108,21,42.12168487
ANGLESEA,2018,2583,88,25,34.06891212
ANGLESEA,2019,2602,92,26,35.35741737
ANGLESEA,2020,2621,141,26,53.79626097
APOLLO BAY,2011,1095,137,27,125.1141553
APOLLO BAY,2012,1195,122,30,102.0920502
APOLLO BAY,2013,1296,108,25,83.33333333
APOLLO BAY,2014,1396,100,20,71.63323782
APOLLO BAY,2015,1497,93,24,62.1242485
APOLLO BAY,2016,1598,104,29,65.08135169
APOLLO BAY,2017,1699,83,27,48.85226604
APOLLO BAY,2018,1800,110,31,61.11111111
APOLLO BAY,2019,1901,97,26,51.02577591
APOLLO BAY,2020,2002,82,19,40.95904096
APSLEY,2011,324,6,5,18.51851852
APSLEY,2012,314,3,2,9.554140127
APSLEY,2013,305,3,3,9.836065574
APSLEY,2014,295,6,6,20.33898305
APSLEY,2015,286,4,4,13.98601399
APSLEY,2016,277,2,2,7.220216606
APSLEY,2017,268,8,5,29.85074627
APSLEY,2018,259,11,7,42.47104247
APSLEY,2019,250,19,13,76
APSLEY,2020,241,10,7,41.49377593
ARARAT,2011,8076,717,52,88.78157504
ARARAT,2012,8120,802,55,98.76847291
ARARAT,2013,8164,812,54,99.46104851
ARARAT,2014,8208,690,51,84.06432749
ARARAT,2015,8252,747,55,90.52350945
ARARAT,2016,8297,769,57,92.68410269
ARARAT,2017,8342,785,53,94.10213378
ARARAT,2018,8387,827,52,98.6049839
ARARAT,2019,8432,715,57,84.79601518
ARARAT,2020,8477,845,57,99.68149109
ARCADIA,2011,227,3,1,13.21585903
ARCADIA,2012,225,8,6,35.55555556
ARCADIA,2013,223,14,11,62.78026906
ARCADIA,2014,221,10,8,45.24886878
ARCADIA,2015,219,8,6,36.52968037
ARCADIA,2016,217,10,8,46.08294931
ARCADIA,2017,215,11,7,51.1627907
ARCADIA,2018,213,8,5,37.55868545
ARCADIA,2019,211,11,6,52.13270142
ARCADIA,2020,209,10,6,47.84688995
ARDEER,2011,2823,388,33,137.4424371
ARDEER,2012,2879,461,33,160.1250434
ARDEER,2013,2935,399,31,135.9454855
ARDEER,2014,2991,252,35,84.25275827
ARDEER,2015,3047,255,35,83.6888743
ARDEER,2016,3103,282,33,90.87979375
ARDEER,2017,3159,260,35,82.30452675
ARDEER,2018,3215,294,38,91.44634526
ARDEER,2019,3271,252,35,77.04066035
ARDEER,2020,3327,263,40,79.05019537
ARDMONA,2011,540,23,9,42.59259259
ARDMONA,2012,529,18,9,34.02646503
ARDMONA,2013,518,15,10,28.95752896
ARDMONA,2014,508,26,12,51.18110236
ARDMONA,2015,497,29,15,58.3501006
ARDMONA,2016,487,29,13,59.54825462
ARDMONA,2017,477,25,10,52.41090147
ARDMONA,2018,467,23,13,49.25053533
ARDMONA,2019,457,48,17,105.0328228
ARDMONA,2020,447,32,17,71.58836689
ARMADALE,2011,8760,362,36,41.32420091
ARMADALE,2012,8818,429,28,48.65048764
ARMADALE,2013,8877,430,35,48.43978822
ARMADALE,2014,8936,419,33,46.88898836
ARMADALE,2015,8995,412,34,45.80322401
ARMADALE,2016,9054,561,39,61.96156395
ARMADALE,2017,9113,442,39,48.5021398
ARMADALE,2018,9172,519,39,56.58525949
ARMADALE,2019,9231,519,39,56.22359441
ARMADALE,2020,9290,508,43,54.68245425
ARTHURS CREEK,2011,454,6,3,13.21585903
ARTHURS CREEK,2012,462,9,8,19.48051948
ARTHURS CREEK,2013,470,7,4,14.89361702
ARTHURS CREEK,2014,479,13,6,27.13987474
ARTHURS CREEK,2015,487,8,5,16.42710472
ARTHURS CREEK,2016,496,6,5,12.09677419
ARTHURS CREEK,2017,505,5,5,9.900990099
ARTHURS CREEK,2018,514,18,10,35.01945525
ARTHURS CREEK,2019,523,10,8,19.12045889
ARTHURS CREEK,2020,532,22,9,41.35338346
ARTHURS SEAT,2011,373,13,8,34.85254692
ARTHURS SEAT,2012,377,6,5,15.91511936
ARTHURS SEAT,2013,381,14,10,36.74540682
ARTHURS SEAT,2014,385,21,12,54.54545455
ARTHURS SEAT,2015,389,17,10,43.70179949
ARTHURS SEAT,2016,394,22,11,55.83756345
ARTHURS SEAT,2017,399,24,14,60.15037594
ARTHURS SEAT,2018,404,15,8,37.12871287
ARTHURS SEAT,2019,409,16,12,39.1198044
ARTHURS SEAT,2020,414,55,13,132.8502415
ASCOT VALE,2011,13475,924,48,68.57142857
ASCOT VALE,2012,13730,1259,46,91.69701384
ASCOT VALE,2013,13985,962,47,68.78798713
ASCOT VALE,2014,14240,922,46,64.74719101
ASCOT VALE,2015,14495,1042,51,71.88685754
ASCOT VALE,2016,14750,1271,50,86.16949153
ASCOT VALE,2017,15005,1045,45,69.64345218
ASCOT VALE,2018,15260,1018,48,66.71035387
ASCOT VALE,2019,15515,1058,51,68.19207219
ASCOT VALE,2020,15770,1226,52,77.74254914
ASHBOURNE,2012,,4,3,0
ASHBOURNE,2013,,3,3,0
ASHBOURNE,2014,,1,1,0
ASHBOURNE,2015,,8,6,0
ASHBOURNE,2016,196,6,6,30.6122449
ASHBOURNE,2017,,3,3,0
ASHBOURNE,2018,,3,2,0
ASHBOURNE,2019,,3,3,0
ASHBOURNE,2020,,4,2,0
ASHBURTON,2011,7586,284,38,37.43738466
ASHBURTON,2012,7619,296,31,38.85024281
ASHBURTON,2013,7652,449,39,58.67746994
ASHBURTON,2014,7685,355,39,46.19388419
ASHBURTON,2015,7718,319,42,41.33195128
ASHBURTON,2016,7751,383,42,49.41297897
ASHBURTON,2017,7784,344,31,44.19321686
ASHBURTON,2018,7817,331,40,42.34361008
ASHBURTON,2019,7850,411,36,52.3566879
ASHBURTON,2020,7883,526,36,66.72586579
ASHWOOD,2011,6061,206,27,33.98779079
ASHWOOD,2012,6226,219,31,35.17507228
ASHWOOD,2013,6391,259,35,40.52573932
ASHWOOD,2014,6556,300,33,45.75960952
ASHWOOD,2015,6721,299,38,44.48742747
ASHWOOD,2016,6886,415,38,60.26720883
ASHWOOD,2017,7051,448,43,63.53708694
ASHWOOD,2018,7216,375,41,51.96784922
ASHWOOD,2019,7381,449,38,60.8318656
ASHWOOD,2020,7546,662,48,87.72859793
ASPENDALE,2011,6622,231,32,34.88372093
ASPENDALE,2012,6685,227,37,33.9566193
ASPENDALE,2013,6749,166,35,24.59623648
ASPENDALE,2014,6812,242,39,35.52554316
ASPENDALE,2015,6876,252,38,36.64921466
ASPENDALE,2016,6940,206,33,29.68299712
ASPENDALE,2017,7004,189,36,26.98458024
ASPENDALE,2018,7068,222,34,31.40916808
ASPENDALE,2019,7132,273,42,38.27818284
ASPENDALE,2020,7196,332,39,46.13674263
ASPENDALE GARDENS,2011,6596,124,24,18.79927229
ASPENDALE GARDENS,2012,6582,150,28,22.78942571
ASPENDALE GARDENS,2013,6569,137,29,20.85553357
ASPENDALE GARDENS,2014,6556,96,23,14.64307505
ASPENDALE GARDENS,2015,6543,132,24,20.174232
ASPENDALE GARDENS,2016,6530,148,27,22.66462481
ASPENDALE GARDENS,2017,6517,159,28,24.39772902
ASPENDALE GARDENS,2018,6504,98,22,15.06765068
ASPENDALE GARDENS,2019,6491,146,37,22.49268218
ASPENDALE GARDENS,2020,6478,197,30,30.41062056
ATHLONE,2011,133,1,1,7.518796992
ATHLONE,2012,130,3,3,23.07692308
ATHLONE,2013,128,3,3,23.4375
ATHLONE,2014,126,6,5,47.61904762
ATHLONE,2015,124,3,3,24.19354839
ATHLONE,2016,122,2,2,16.39344262
ATHLONE,2017,120,3,3,25
ATHLONE,2018,118,9,8,76.27118644
ATHLONE,2019,116,5,2,43.10344828
ATHLONE,2020,114,3,3,26.31578947
ATTWOOD,2011,3261,98,17,30.05213125
ATTWOOD,2012,3292,78,22,23.69380316
ATTWOOD,2013,3324,108,20,32.49097473
ATTWOOD,2014,3355,85,23,25.33532042
ATTWOOD,2015,3387,122,19,36.02007676
ATTWOOD,2016,3419,95,21,27.78590231
ATTWOOD,2017,3451,90,23,26.07939728
ATTWOOD,2018,3483,77,21,22.1073787
ATTWOOD,2019,3515,59,21,16.78520626
ATTWOOD,2020,3547,81,27,22.83619961
AVALON,2011,305,20,7,65.57377049
AVALON,2012,302,19,9,62.91390728
AVALON,2013,300,26,11,86.66666667
AVALON,2014,297,19,11,63.97306397
AVALON,2015,295,22,14,74.57627119
AVALON,2016,293,32,10,109.2150171
AVALON,2017,291,19,13,65.29209622
AVALON,2018,289,67,14,231.83391
AVALON,2019,287,32,14,111.4982578
AVALON,2020,285,29,16,101.754386
AVENEL,2011,1048,20,12,19.08396947
AVENEL,2012,1048,24,16,22.90076336
AVENEL,2013,1048,20,16,19.08396947
AVENEL,2014,1048,41,22,39.1221374
AVENEL,2015,1048,31,19,29.58015267
AVENEL,2016,1048,52,17,49.61832061
AVENEL,2017,1048,38,19,36.25954198
AVENEL,2018,1048,33,16,31.48854962
AVENEL,2019,1048,47,22,44.84732824
AVENEL,2020,1048,50,24,47.70992366
AVOCA,2011,1264,35,14,27.68987342
AVOCA,2012,1249,23,11,18.41473179
AVOCA,2013,1235,32,20,25.91093117
AVOCA,2014,1221,42,22,34.3980344
AVOCA,2015,1207,36,18,29.82601491
AVOCA,2016,1193,41,19,34.36714166
AVOCA,2017,1179,69,24,58.52417303
AVOCA,2018,1165,68,24,58.36909871
AVOCA,2019,1151,58,20,50.39096438
AVOCA,2020,1137,59,16,51.89094107
AVONDALE HEIGHTS,2011,10990,333,39,30.30027298
AVONDALE HEIGHTS,2012,11118,319,41,28.69221083
AVONDALE HEIGHTS,2013,11247,330,38,29.34115764
AVONDALE HEIGHTS,2014,11375,309,36,27.16483516
AVONDALE HEIGHTS,2015,11504,368,44,31.98887344
AVONDALE HEIGHTS,2016,11633,394,41,33.86916531
AVONDALE HEIGHTS,2017,11762,378,42,32.1373916
AVONDALE HEIGHTS,2018,11891,339,39,28.50895635
AVONDALE HEIGHTS,2019,12020,285,41,23.71048253
AVONDALE HEIGHTS,2020,12149,302,37,24.85801301
AVONSLEIGH,2011,735,27,13,36.73469388
AVONSLEIGH,2012,758,18,12,23.74670185
AVONSLEIGH,2013,781,28,15,35.85147247
AVONSLEIGH,2014,805,16,9,19.8757764
AVONSLEIGH,2015,828,30,15,36.23188406
AVONSLEIGH,2016,852,21,12,24.64788732
AVONSLEIGH,2017,876,10,7,11.41552511
AVONSLEIGH,2018,900,8,6,8.888888889
AVONSLEIGH,2019,924,11,9,11.9047619
AVONSLEIGH,2020,948,12,5,12.65822785
AXE CREEK,2011,300,1,1,3.333333333
AXE CREEK,2012,310,2,2,6.451612903
AXE CREEK,2013,320,2,2,6.25
AXE CREEK,2014,331,5,4,15.10574018
AXE CREEK,2015,341,15,11,43.98826979
AXE CREEK,2016,352,6,5,17.04545455
AXE CREEK,2017,363,8,5,22.03856749
AXE CREEK,2018,374,7,5,18.71657754
AXE CREEK,2019,385,6,6,15.58441558
AXE CREEK,2020,396,8,6,20.2020202
AXEDALE,2011,571,14,7,24.51838879
AXEDALE,2012,617,12,6,19.44894652
AXEDALE,2013,663,10,5,15.08295626
AXEDALE,2014,709,16,8,22.56699577
AXEDALE,2015,755,21,11,27.81456954
AXEDALE,2016,802,14,9,17.4563591
AXEDALE,2017,849,20,10,23.55712603
AXEDALE,2018,896,24,12,26.78571429
AXEDALE,2019,943,21,14,22.26935313
AXEDALE,2020,990,27,13,27.27272727
BACCHUS MARSH,2011,5760,545,44,94.61805556
BACCHUS MARSH,2012,5886,550,46,93.44206592
BACCHUS MARSH,2013,6013,665,53,110.5937136
BACCHUS MARSH,2014,6140,569,49,92.67100977
BACCHUS MARSH,2015,6267,539,53,86.00606351
BACCHUS MARSH,2016,6394,707,57,110.5724116
BACCHUS MARSH,2017,6521,693,54,106.2720442
BACCHUS MARSH,2018,6648,572,49,86.04091456
BACCHUS MARSH,2019,6775,544,47,80.29520295
BACCHUS MARSH,2020,6902,842,47,121.993625
BADDAGINNIE,2011,465,16,8,34.40860215
BADDAGINNIE,2012,439,14,10,31.89066059
BADDAGINNIE,2013,414,18,15,43.47826087
BADDAGINNIE,2014,388,23,16,59.27835052
BADDAGINNIE,2015,363,29,17,79.88980716
BADDAGINNIE,2016,338,15,11,44.37869822
BADDAGINNIE,2017,313,16,10,51.11821086
BADDAGINNIE,2018,288,21,15,72.91666667
BADDAGINNIE,2019,263,16,12,60.8365019
BADDAGINNIE,2020,238,17,12,71.42857143
BADGER CREEK,2011,1922,19,10,9.8855359
BADGER CREEK,2012,1850,22,9,11.89189189
BADGER CREEK,2013,1778,9,8,5.061867267
BADGER CREEK,2014,1706,34,15,19.92966002
BADGER CREEK,2015,1634,30,16,18.35985312
BADGER CREEK,2016,1563,16,9,10.23672425
BADGER CREEK,2017,1492,45,17,30.16085791
BADGER CREEK,2018,1421,31,13,21.8156228
BADGER CREEK,2019,1350,46,19,34.07407407
BADGER CREEK,2020,1279,31,17,24.23768569
BAGSHOT,2011,297,4,3,13.46801347
BAGSHOT,2012,295,7,4,23.72881356
BAGSHOT,2013,293,6,5,20.4778157
BAGSHOT,2014,291,1,1,3.436426117
BAGSHOT,2015,289,2,2,6.920415225
BAGSHOT,2016,288,8,6,27.77777778
BAGSHOT,2017,287,10,5,34.84320557
BAGSHOT,2018,286,7,7,24.47552448
BAGSHOT,2019,285,9,6,31.57894737
BAGSHOT,2020,284,6,5,21.12676056
BAILIESTON,2011,271,3,3,11.0701107
BAILIESTON,2012,,2,1,0
BAILIESTON,2013,,11,6,0
BAILIESTON,2014,,3,3,0
BAILIESTON,2015,,3,3,0
BAILIESTON,2016,109,1,1,9.174311927
BAILIESTON,2017,,7,5,0
BAILIESTON,2018,,8,6,0
BAILIESTON,2019,,12,8,0
BAILIESTON,2020,,5,4,0
BAIRNSDALE,2011,7237,1035,54,143.0150615
BAIRNSDALE,2012,7305,1010,54,138.2614648
BAIRNSDALE,2013,7374,1204,56,163.2763765
BAIRNSDALE,2014,7442,1137,56,152.7815103
BAIRNSDALE,2015,7511,1235,56,164.4255093
BAIRNSDALE,2016,7580,1309,56,172.6912929
BAIRNSDALE,2017,7649,1097,54,143.4174402
BAIRNSDALE,2018,7718,1177,61,152.5006478
BAIRNSDALE,2019,7787,1368,56,175.6774111
BAIRNSDALE,2020,7856,1370,58,174.389002
BAKERY HILL,2011,173,97,17,560.6936416
BAKERY HILL,2012,171,114,22,666.6666667
BAKERY HILL,2013,169,84,20,497.0414201
BAKERY HILL,2014,167,74,18,443.1137725
BAKERY HILL,2015,165,69,13,418.1818182
BAKERY HILL,2016,164,68,18,414.6341463
BAKERY HILL,2017,163,101,22,619.6319018
BAKERY HILL,2018,162,60,22,370.3703704
BAKERY HILL,2019,161,96,21,596.2732919
BAKERY HILL,2020,160,99,22,618.75
BALACLAVA,2011,5383,356,33,66.13412595
BALACLAVA,2012,5385,422,35,78.36583101
BALACLAVA,2013,5388,536,40,99.48032665
BALACLAVA,2014,5390,500,36,92.76437848
BALACLAVA,2015,5393,485,35,89.93139255
BALACLAVA,2016,5396,532,34,98.5915493
BALACLAVA,2017,5399,502,38,92.98018152
BALACLAVA,2018,5402,471,46,87.18992966
BALACLAVA,2019,5405,487,43,90.10175763
BALACLAVA,2020,5408,535,47,98.92751479
BALLAN,2011,2774,79,23,28.47873107
BALLAN,2012,2816,144,24,51.13636364
BALLAN,2013,2858,157,32,54.93351994
BALLAN,2014,2900,192,38,66.20689655
BALLAN,2015,2942,249,35,84.63630184
BALLAN,2016,2985,281,35,94.13735343
BALLAN,2017,3028,253,33,83.55350066
BALLAN,2018,3071,193,35,62.84597851
BALLAN,2019,3114,155,31,49.77520873
BALLAN,2020,3157,145,36,45.92968008
BALLARAT CENTRAL,2011,5465,2634,65,481.9762123
BALLARAT CENTRAL,2012,5437,2384,62,438.4771013
BALLARAT CENTRAL,2013,5410,2612,60,482.8096118
BALLARAT CENTRAL,2014,5382,2280,59,423.6343367
BALLARAT CENTRAL,2015,5355,2261,67,422.2222222
BALLARAT CENTRAL,2016,5328,2337,60,438.6261261
BALLARAT CENTRAL,2017,5301,2263,62,426.9005848
BALLARAT CENTRAL,2018,5274,2113,58,400.644672
BALLARAT CENTRAL,2019,5247,2025,58,385.9348199
BALLARAT CENTRAL,2020,5220,1704,59,326.4367816
BALLARAT EAST,2011,5309,438,30,82.5014127
BALLARAT EAST,2012,5371,408,36,75.96350773
BALLARAT EAST,2013,5434,429,37,78.94736842
BALLARAT EAST,2014,5497,433,39,78.77023831
BALLARAT EAST,2015,5560,527,35,94.78417266
BALLARAT EAST,2016,5623,465,40,82.69606971
BALLARAT EAST,2017,5686,495,42,87.05592684
BALLARAT EAST,2018,5749,504,42,87.66742042
BALLARAT EAST,2019,5812,519,39,89.29800413
BALLARAT EAST,2020,5875,525,46,89.36170213
BALLARAT NORTH,2011,3923,193,24,49.19704308
BALLARAT NORTH,2012,3923,184,26,46.90288045
BALLARAT NORTH,2013,3923,135,24,34.41243946
BALLARAT NORTH,2014,3924,127,26,32.36493374
BALLARAT NORTH,2015,3924,178,27,45.36187564
BALLARAT NORTH,2016,3925,190,26,48.40764331
BALLARAT NORTH,2017,3926,187,30,47.63117677
BALLARAT NORTH,2018,3927,157,30,39.97962821
BALLARAT NORTH,2019,3928,200,30,50.91649695
BALLARAT NORTH,2020,3929,216,31,54.97582082
BALLENDELLA,2011,257,2,2,7.782101167
BALLENDELLA,2012,230,3,2,13.04347826
BALLENDELLA,2013,203,2,2,9.852216749
BALLENDELLA,2014,177,2,2,11.29943503
BALLENDELLA,2015,150,3,3,20
BALLENDELLA,2016,124,3,3,24.19354839
BALLENDELLA,2017,98,3,3,30.6122449
BALLENDELLA,2018,72,5,5,69.44444444
BALLENDELLA,2019,46,4,3,86.95652174
BALLENDELLA,2020,20,15,9,750
BALLIANG,2011,243,5,4,20.57613169
BALLIANG,2012,252,10,9,39.68253968
BALLIANG,2013,261,16,10,61.30268199
BALLIANG,2014,271,8,6,29.5202952
BALLIANG,2015,280,9,7,32.14285714
BALLIANG,2016,290,15,7,51.72413793
BALLIANG,2017,300,12,11,40
BALLIANG,2018,310,23,15,74.19354839
BALLIANG,2019,320,15,9,46.875
BALLIANG,2020,330,34,19,103.030303
BALMATTUM,2011,331,2,2,6.042296073
